1,3.872469636,Toy Story (1995),"story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, story, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy, toy",0,0,0,0,0,0,0,0,0,0
4,2.384615385,Waiting to Exhale (1995),"exhale, exhale, exhale, exhale, exhale, exhale, exhale, exhale, exhale, exhale, exhale, exhale, exhale, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting, waiting",0,0.333333333,0,0.333333333,0,0,0,0,0,0
5,3.267857143,Father of the Bride Part II (1995),"bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, bride, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, father, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, part, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, parting, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, partly, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts, parts",0.166666667,0,0,0.166666667,0,0,0.166666667,0.166666667,0,0.333333333
6,3.884615385,Heat (1995),"heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heat, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heated, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating, heating",0,0,0,0,0,0,0,0,0,0
9,3.15,Sudden Death (1995),"death, death, death, death, death, death, death, death, death, death, death, death, death, death, death, death, death, death, death, death, sudden, sudden, sudden, sudden, sudden, sudden, sudden, sudden, sudden, sudden, sudden, sudden, sudden, sudden, sudden, sudden, sudden, sudden, sudden, sudden, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly, suddenly",0,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,0.333333333,1,0
11,3.68902439,"American President, The (1995)","preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, preside, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, presidency, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president, president",0.333333333,0,0,0,0,0,0,0,0,0.333333333
12,2.861111111,Dracula: Dead and Loving It (1995),"deadly, deadly, deadly, deadly, deadly, deadly, deadly, deadly, deadly, deadly, deadly, deadly, deadly, deadly, deadly, deadly, deadly, deadly, love, love, love, love, love, love, love, love, love, love, love, love, love, love, love, love, love, love, lovely, lovely, lovely, lovely, lovely, lovely, lovely, lovely, lovely, lovely, lovely, lovely, lovely, lovely, lovely, lovely, lovely, lovely, loving, loving, loving, loving, loving, loving, loving, loving, loving, loving, loving, loving, loving, loving, loving, loving, loving, loving",0.75,0.25,0.25,0.25,0.25,0.25,0.75,0.5,0.25,0.5
15,2.318181818,Cutthroat Island (1995),"cutthroat, cutthroat, cutthroat, cutthroat, cutthroat, cutthroat, cutthroat, cutthroat, cutthroat, cutthroat, cutthroat, island, island, island, island, island, island, island, island, island, island, island",0,0.5,0.5,0,0,0.5,0,0,0,0
16,3.948863636,Casino (1995),"casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino, casino",0,0,0,0,0,0,0,0,0,0
17,3.924418605,Sense and Sensibility (1995),"sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, sense, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, senses, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibility, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly, sensibly",0.75,0,0,0,0,0,0,0,0,0
